rowNumber,queueId,questionNumber,questionType,questionText,subject,courseLevel,module,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,payload,explanation,generationMetadata
1,python-mcq-level-1-introduction-to-py-r2-q1,Q1,mcq,Which statement best defines Python?,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,"Define Python as a high-level, interpreted, general-purpose programming language.",Remembering,easy,1,"One easy multiple-choice question assessing the definition of Python as a high-level, interpreted, general-purpose programming language.","[{""text"":""A high-level, interpreted, general-purpose programming language"",""correct"":true},{""text"":""A low-level language used only to control computer hardware directly"",""correct"":false},{""text"":""A markup language used only to describe the structure of documents"",""correct"":false},{""text"":""A domain-specific language used only for database queries"",""correct"":false}]",,"Python is a high-level, interpreted, general-purpose programming language. It is designed to be readable and can be used for many types of software, rather than one narrowly defined task.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":2,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Define"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
2,python-mcq-level-1-introduction-to-py-r3-q1,Q1,mcq,Which set lists three areas where Python is widely used?,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,"Recall three areas where Python is widely used (web, data, automation, AI).",Remembering,easy,1,One easy multiple-choice question assessing recall of common areas where Python is widely used.,"[{""text"":""Web development, data analysis, and automation"",""correct"":true},{""text"":""Hardware manufacturing, plumbing, and painting"",""correct"":false},{""text"":""Vehicle repair, farming, and construction"",""correct"":false},{""text"":""Paper printing, sculpture, and cooking"",""correct"":false}]",,"Python is widely used for web development, data analysis, and automation. It is also commonly used in artificial intelligence, while the other choices include activities that are not recognized as major Python application areas.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":3,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Recall"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
3,python-fitb-level-1-introduction-to-py-r2-q2,Q2,fitb,Python is described as a {{1}} programming language because it lets programmers work with abstractions rather than machine instructions.,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,"Define Python as a high-level, interpreted, general-purpose programming language.",Remembering,easy,1,One easy theoretical fill-in-the-blank question covering Python's high-level nature.,[],"{""blanks"":[{""position"":1,""answer"":""high-level"",""acceptedAnswers"":[""high level""],""caseSensitive"":false}]}","The correct answer is “high-level.” Python provides abstractions that hide many low-level machine details, making it easier for people to write programs.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":2,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Define"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
4,python-mcq-level-1-introduction-to-py-r4-q1,Q1,mcq,What does the .py file extension usually indicate?,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,Identify the file extension .py and what it signifies.,Remembering,easy,1,One easy multiple-choice question assessing recognition of the .py file extension and its meaning.,"[{""text"":""A Python source-code file"",""correct"":true},{""text"":""A compiled image file"",""correct"":false},{""text"":""A spreadsheet document"",""correct"":false},{""text"":""A plain-text file containing only data"",""correct"":false}]",,"The .py extension identifies a file as a Python source-code file, which commonly contains Python instructions that can be run by a Python interpreter.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":4,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Identify"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
5,python-fitb-level-1-introduction-to-py-r4-q2,Q2,fitb,A file named `hello{{1}}` is identified as a Python source-code file.,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,Identify the file extension .py and what it signifies.,Remembering,easy,1,One easy fill-in-the-blank question about the Python source-file extension.,[],"{""blanks"":[{""position"":1,""answer"":"".py"",""acceptedAnswers"":[],""caseSensitive"":true}]}",The `.py` extension signifies that a file contains Python source code. It is commonly used for Python programs and modules.,"{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":4,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Identify"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
6,python-mcq-level-1-introduction-to-py-r5-q1,Q1,mcq,Which statement best distinguishes Python from CPython?,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,Differentiate between Python the language and CPython the interpreter.,Understanding,easy,2,One easy multiple-choice question distinguishing Python as a language from CPython as its interpreter implementation.,"[{""text"":""Python is a programming language, while CPython is an implementation that runs Python code."",""correct"":true},{""text"":""Python is the operating system, while CPython is the programming language used on it."",""correct"":false},{""text"":""Python and CPython are two unrelated programming languages with different syntax rules."",""correct"":false},{""text"":""CPython is a text editor used to write Python programs."",""correct"":false}]",,"Python is the programming language, including its syntax and rules. CPython is a commonly used implementation of that language that interprets and executes Python code. CPython is not a separate programming language.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":5,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
7,python-fitb-level-1-introduction-to-py-r3-q2,Q2,fitb,"Python is widely used in web development, data analysis, and {{1}} of repetitive tasks such as file processing and scheduled jobs.",Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,"Recall three areas where Python is widely used (web, data, automation, AI).",Remembering,easy,1,One easy Remembering-level fitb question about a major area where Python is widely used.,[],"{""blanks"":[{""position"":1,""answer"":""automation"",""acceptedAnswers"":[],""caseSensitive"":false}]}",Automation is a major use of Python because scripts can perform repetitive tasks such as processing files and running scheduled jobs. Python is also widely used for web development and data analysis.,"{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":3,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Recall"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
8,python-mcq-level-1-introduction-to-py-r6-q1,Q1,mcq,Which statement correctly identifies two common ways to run Python code?,Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Identify the Python REPL (interactive shell) and a saved script as two ways to run code.,Remembering,easy,1,One easy remembering-level MCQ about identifying the Python REPL and saved scripts as ways to run code.,"[{""text"":""The REPL runs commands interactively, while a saved script contains code in a file that can be run."",""correct"":true},{""text"":""The REPL stores code permanently, while a saved script only runs one command at a time."",""correct"":false},{""text"":""The REPL and a saved script are two names for the same Python file."",""correct"":false},{""text"":""A saved script can run only after each line is entered manually in the REPL."",""correct"":false}]",,"The Python REPL, or interactive shell, lets you enter and run Python commands interactively. A saved script stores Python code in a file that can be run as a program. The other choices incorrectly describe the REPL or saved scripts.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":6,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Identify"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
9,python-fitb-level-1-introduction-to-py-r5-q2,Q2,fitb,CPython is the Python {{1}} that reads and executes Python code.,Python,Level 1,Introduction to Python,Introduction to Python,What Python is and where it runs,Differentiate between Python the language and CPython the interpreter.,Understanding,easy,2,One easy fill-in-the-blank question distinguishing Python as a language from CPython as its interpreter.,[],"{""blanks"":[{""position"":1,""answer"":""interpreter"",""acceptedAnswers"":[],""caseSensitive"":false}]}","The answer is “interpreter.” Python is the programming language, while CPython is a commonly used implementation that interprets and runs Python code. A common misconception is treating the language and the program that executes it as identical.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":5,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
10,python-fitb-level-1-introduction-to-py-r6-q2,Q2,fitb,Two common ways to run Python code are entering commands one at a time in the {{1}} and executing a saved {{2}}.,Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Identify the Python REPL (interactive shell) and a saved script as two ways to run code.,Remembering,easy,1,One easy remembering-level FITB question covering the Python REPL and saved script execution.,[],"{""blanks"":[{""position"":1,""answer"":""REPL"",""acceptedAnswers"":[],""caseSensitive"":true},{""position"":2,""answer"":""script"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The Python REPL (Read-Evaluate-Print Loop) runs commands interactively as they are entered, while a saved script contains Python code that can be executed as a file.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":6,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""Identify"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
