S.No,Module (Topic),LO (Subtopic),Full Learning Objective,Bloom Level,No. of Questions
1,Introduction to Python,What Python is and where it runs,"Define Python as a high-level, interpreted, general-purpose programming language.",Remembering,2
2,Introduction to Python,What Python is and where it runs,"Recall three areas where Python is widely used (web, data, automation, AI).",Remembering,2
3,Introduction to Python,What Python is and where it runs,Identify the file extension .py and what it signifies.,Remembering,2
4,Introduction to Python,What Python is and where it runs,Differentiate between Python the language and CPython the interpreter.,Understanding,2
5,Introduction to Python,Running a Python program,Identify the Python REPL (interactive shell) and a saved script as two ways to run code.,Remembering,2
6,Introduction to Python,Running a Python program,Apply the print() function to display a message to the console.,Applying,3
7,Introduction to Python,Running a Python program,Use the # symbol to add a single-line comment to a script.,Applying,3
8,Introduction to Python,Running a Python program,Differentiate a syntax error from a runtime error using a small misspelled-print example.,Understanding,2
9,Introduction to Python,First variables and data types,"List the four core built-in data types: int, float, str, bool.",Remembering,2
10,Introduction to Python,First variables and data types,Apply the assignment operator = to bind a value to a variable name.,Applying,3
11,Introduction to Python,First variables and data types,Use type() to check the data type of a value at runtime.,Applying,3
12,Introduction to Python,First variables and data types,"Predict the type Python infers for a literal such as 3, 3.0, '3', True.",Analyzing,4
13,Operators of Python,Arithmetic operators,"List the seven arithmetic operators: +, -, *, /, //, %, **.",Remembering,2
14,Operators of Python,Arithmetic operators,"Apply +, -, * and / to integers and floats and observe the result type.",Applying,3
15,Operators of Python,Arithmetic operators,Differentiate / (true division) from // (floor division) on positive and negative numbers.,Understanding,2
16,Operators of Python,Arithmetic operators,Use ** to compute powers and predict the result of 2**10.,Applying,3
17,Operators of Python,Arithmetic operators,Predict the output of a mixed-precedence expression such as 2 + 3 * 4.,Analyzing,4
18,Operators of Python,Assignment and compound operators,"Identify =, +=, -=, *=, /=, //=, %=, **= and what each does.",Remembering,2
19,Operators of Python,Assignment and compound operators,Apply += to update a counter variable inside a small loop.,Applying,3
20,Operators of Python,Assignment and compound operators,Use *= to repeatedly double a variable.,Applying,3
21,Operators of Python,Relational operators,"Recognize the six relational operators ==, !=, >, <, >=, <=.",Remembering,2
22,Operators of Python,Relational operators,Apply relational operators to compare two values and produce a boolean.,Applying,3
23,Operators of Python,Relational operators,Predict the boolean output of a chained comparison such as 0 < x <= 10.,Analyzing,4
