subject,topic,topic_subject_label,topic_grade,subtopic,learning_objective,learning_objective_code,is_current_version,question_question_type,question_lifecycle_status,question_retired_at,question_difficulty_band,question_difficulty_rating,question_bloom_level,question_usage_type,question_keywords,question_created_at,question_updated_at,question_grade_level,question_input_type,version_version_number,version_prompt,version_options,version_correct_answer,version_model_answer,version_explanation,version_payload,version_time_allocated_ms,version_created_at
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,easy,2.0,apply,diagnostic,[],2026-05-21T10:56:44.694Z,2026-07-28T08:08:21.317Z,grade 1,number,1,Think of 10: 7 + 3 + 1 = ____.,,,,First make 10 with 7 + 3. Then add 1 more to get 11.,"{""hint"":""Make 10, then add the last number."",""answer"":""11"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""11""]}",,2026-05-21T10:56:44.764Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,hard,5.0,analyze,diagnostic,[],2026-05-21T10:56:44.697Z,2026-05-21T10:56:44.817Z,grade 1,,1,Two boxes are started. Finish sorting the sums. Put each card with the trick that fits best.,,,,"9 + 6 and 9 + 4 fit with the near-10 trick because 9 is close to 10, so think 10 and take away 1. 10 + 6 and 10 + 4 fit with the add-10 trick because adding 10 is direct.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""9 + 6""},{""id"":""item_2"",""label"":""10 + 4""},{""id"":""item_3"",""label"":""9 + 4""},{""id"":""item_4"",""label"":""10 + 6""}],""labels"":{""end"":null,""start"":null,""instruction"":""Sort the cards into the two boxes.""},""targets"":[{""id"":""target_1"",""label"":""Think 10, then -1""},{""id"":""target_2"",""label"":""Add 10""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""}],""visualMode"":null,""questionSvg"":null}",,2026-05-21T10:56:44.767Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,medium,3.0,apply,diagnostic,[],2026-05-21T10:56:44.697Z,2026-05-21T10:56:44.818Z,grade 1,,1,"Put the sums into the right answer boxes. Use the quick trick for 19: think 20, then take away 1.",,,,19 + 3 = 20 + 3 - 1 = 22. 19 + 5 = 24. 19 + 7 = 26. 19 + 1 = 20.,"{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""19 + 3""},{""id"":""item_2"",""label"":""19 + 5""},{""id"":""item_3"",""label"":""19 + 7""},{""id"":""item_4"",""label"":""19 + 1""}],""labels"":{""end"":null,""start"":null,""instruction"":""Match each sum to its answer.""},""targets"":[{""id"":""target_1"",""label"":""22""},{""id"":""target_2"",""label"":""24""},{""id"":""target_3"",""label"":""26""},{""id"":""target_4"",""label"":""20""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""visualMode"":null,""questionSvg"":null}",,2026-05-21T10:56:44.768Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,easy,2.0,understand,diagnostic,[],2026-05-21T10:56:44.698Z,2026-05-21T10:56:44.818Z,grade 1,,1,Sort the addition cards. Put each one in the box that shows the trick. Use make 10.,,,,"8 + 2 and 7 + 3 make 10 exactly. 8 + 3 and 9 + 2 are one more than 10, so they go in the 11 box.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""8 + 2""},{""id"":""item_2"",""label"":""7 + 3""},{""id"":""item_3"",""label"":""8 + 3""},{""id"":""item_4"",""label"":""9 + 2""}],""labels"":{""end"":null,""start"":null,""instruction"":""Drag each card into the right box.""},""targets"":[{""id"":""target_1"",""label"":""Makes 10""},{""id"":""target_2"",""label"":""Makes 11""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_2""},{""itemId"":""item_4"",""targetId"":""target_2""}],""visualMode"":null,""questionSvg"":null}",,2026-05-21T10:56:44.768Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,medium,4.0,analyze,diagnostic,[],2026-05-21T10:56:44.697Z,2026-05-21T10:56:44.817Z,grade 1,,1,Sort the cards by the mental trick. Some sums use make 10. Some sums use 10 and 1 more.,,,,"6 + 4 and 8 + 2 use the make 10 trick because the numbers join to 10. 9 + 2 and 9 + 5 use the near-10 trick: think 10 + the other number, then take away 1.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""6 + 4""},{""id"":""item_2"",""label"":""9 + 2""},{""id"":""item_3"",""label"":""8 + 2""},{""id"":""item_4"",""label"":""9 + 5""}],""labels"":{""end"":null,""start"":null,""instruction"":""Drag each sum to the trick it uses.""},""targets"":[{""id"":""target_1"",""label"":""Make 10""},{""id"":""target_2"",""label"":""Think 10, then -1""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_2""}],""visualMode"":null,""questionSvg"":null}",,2026-05-21T10:56:44.768Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,easy,1.0,apply,diagnostic,[],2026-05-21T10:56:44.698Z,2026-05-21T10:56:44.820Z,grade 1,,1,Drag each sum to the box with its quick answer. Think: 9 is 10 minus 1.,,,,"For 9 + 4, think 10 + 4 = 14, then take away 1 to get 13. For 9 + 6, think 10 + 6 = 16, then take away 1 to get 15. For 9 + 8, think 10 + 8 = 18, then take away 1 to get 17. For 9 + 2, think 10 + 2 = 12, then take away 1 to get 11.","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""9 + 4""},{""id"":""item_2"",""label"":""9 + 6""},{""id"":""item_3"",""label"":""9 + 8""},{""id"":""item_4"",""label"":""9 + 2""}],""labels"":{""end"":null,""start"":null,""instruction"":""Match each sum to its answer.""},""targets"":[{""id"":""target_1"",""label"":""13""},{""id"":""target_2"",""label"":""15""},{""id"":""target_3"",""label"":""17""},{""id"":""target_4"",""label"":""11""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""visualMode"":null,""questionSvg"":null}",,2026-05-21T10:56:44.770Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,medium,3.0,apply,diagnostic,[],2026-05-21T10:56:44.699Z,2026-07-28T08:08:21.317Z,grade 1,number,1,Use the 10 trick: 9 + 6 = ____.,,,,9 needs 1 to become 10. Split 6 into 1 and 5. Then 10 + 5 = 15.,"{""hint"":""Break 6 into 1 and 5."",""answer"":""15"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""15""]}",,2026-05-21T10:56:44.771Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,easy,1.0,apply,diagnostic,[],2026-05-21T10:56:44.759Z,2026-07-28T08:08:21.317Z,grade 1,number,1,Use near 10: 9 + 4 = ____.,,,,"Think 9 needs 1 more to make 10. Take 1 from 4, so 10 + 3 = 13.","{""hint"":""Make 10 first."",""answer"":""13"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""13""]}",,2026-05-21T10:56:44.810Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,easy,1.0,apply,diagnostic,[],2026-05-21T10:56:44.761Z,2026-07-28T08:08:21.317Z,grade 1,number,1,Add fast: 8 + 2 + 3 = ____.,,,,First add 8 + 2 = 10. Then 10 + 3 = 13.,"{""hint"":""Join the two numbers that make 10."",""answer"":""13"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""13""]}",,2026-05-21T10:56:44.812Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,hard,4.0,analyze,diagnostic,[],2026-05-21T10:56:44.765Z,2026-07-28T08:08:21.317Z,grade 1,number,1,"Quick check: 18 + 7 is not 24, it is ____.",,,,"18 needs 2 to make 20. Split 7 into 2 and 5. Then 20 + 5 = 25, so 24 is too small.","{""hint"":""Make 20 first."",""answer"":""25"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""25""]}",,2026-05-21T10:56:44.814Z
